Repo_Name,Repo_URL,Stars,Forks,contributors_count,create_date,repo_age_days,PRs,Issues,Total_MD_Files,Has_SECURITY,Has_CONTRIBUTING,Has_SKILL,Has_AGENTS
ragflow,https://github.com/infiniflow/ragflow,89253,10497,763,2023-12-12T06:13:13Z,987,10301,7654,214,True,True,True,True
NextChat,https://github.com/ChatGPTNextWeb/NextChat,88653,59198,304,2023-03-10T18:27:54Z,1264,2716,3611,28,False,False,False,False
OpenHands,https://github.com/OpenHands/OpenHands,85109,11128,534,2024-03-13T03:33:31Z,896,11325,4618,28,False,False,False,True
worldmonitor,https://github.com/koala73/worldmonitor,84155,12611,153,2026-01-08T17:26:06Z,229,5333,1702,377,True,True,True,True
lobehub,https://github.com/lobehub/lobehub,81992,15831,354,2023-05-21T07:19:12Z,1192,10568,6424,291,True,True,True,True
deer-flow,https://github.com/bytedance/deer-flow,80894,11133,373,2025-05-07T02:50:19Z,476,2955,1903,222,True,True,True,True
taste-skill,https://github.com/Leonxlnx/taste-skill,80618,5522,7,2026-02-19T21:44:05Z,187,53,43,29,False,False,True,False
paperclip,https://github.com/paperclipai/paperclip,79381,14563,212,2026-03-02T15:01:51Z,176,9037,2960,429,True,True,True,True
MinerU,https://github.com/opendatalab/MinerU,78489,6600,99,2024-02-29T08:52:34Z,908,1793,2336,60,True,False,False,False
Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,77787,8545,212,2022-12-16T16:04:50Z,1348,513,254,12,False,False,False,False
Agent-Reach,https://github.com/Panniantong/Agent-Reach,75326,6429,36,2026-02-24T02:10:24Z,183,424,207,27,True,True,True,False
learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,75309,12154,47,2025-06-29T15:34:15Z,422,323,206,97,False,True,True,False
hello-agents,https://github.com/datawhalechina/hello-agents,74835,9292,105,2025-09-07T09:50:24Z,352,374,311,227,False,True,True,False
unsloth,https://github.com/unslothai/unsloth,74757,6764,290,2023-11-29T16:50:09Z,1000,5189,4279,31,False,True,False,False
LlamaFactory,https://github.com/hiyouga/LlamaFactory,74355,9098,296,2023-05-28T10:09:12Z,1185,1506,8033,76,True,True,True,False
Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,73859,6710,120,2017-10-16T10:12:36Z,3235,321,156,807,False,False,True,True
awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,73249,8406,29,2025-10-17T07:15:01Z,312,1509,147,892,False,True,True,False
ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,73235,24212,101,2024-11-28T10:42:52Z,635,585,125,3510,True,False,True,True
OpenBB,https://github.com/OpenBB-finance/OpenBB,72292,7451,269,2020-12-20T10:46:38Z,2074,5023,2324,84,True,True,True,False
ansible,https://github.com/ansible/ansible,70464,24324,6948,2012-03-06T14:58:02Z,5285,52888,33428,65,True,True,True,True
MetaGPT,https://github.com/FoundationAgents/MetaGPT,70030,8902,148,2023-06-30T09:04:55Z,1152,1080,975,41,True,False,False,False
ruflo,https://github.com/ruvnet/ruflo,69414,8300,40,2025-06-02T21:24:20Z,449,1329,1647,1882,True,True,True,True
career-ops,https://github.com/santifer/career-ops,68447,12977,317,2026-04-04T18:21:18Z,143,2021,1126,294,True,True,True,True
oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,68375,5597,337,2025-12-03T01:40:05Z,266,4606,2589,970,False,True,True,True
headroom,https://github.com/headroomlabs-ai/headroom,67603,5214,251,2026-01-07T19:58:51Z,230,2206,956,89,True,True,False,False
cline,https://github.com/cline/cline,66851,7219,322,2024-07-06T07:28:10Z,780,7369,4423,189,True,True,True,True
OpenSpec,https://github.com/Fission-AI/OpenSpec,66258,4558,97,2025-08-05T10:37:45Z,385,896,606,697,True,False,True,True
anything-llm,https://github.com/Mintplex-Labs/anything-llm,65201,7187,230,2023-06-04T02:29:14Z,1179,2186,3755,32,True,True,False,False
claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,65077,6474,5,2025-10-31T14:15:28Z,298,138,53,122,False,False,True,False
mem0,https://github.com/mem0ai/mem0,64042,7496,399,2023-06-20T08:58:36Z,1162,4700,2119,133,True,True,True,True
autogen,https://github.com/microsoft/autogen,60630,9151,534,2023-08-18T11:43:45Z,1103,3733,3080,162,True,True,False,False
crewAI,https://github.com/crewAIInc/crewAI,57616,8249,304,2023-10-27T03:26:59Z,1034,4536,2129,104,True,True,True,True
maybe,https://github.com/maybe-finance/maybe,54309,5677,125,2024-01-01T22:23:46Z,967,1374,0,7,False,True,False,False
goose,https://github.com/aaif-goose/goose,53473,6105,617,2024-08-23T19:03:36Z,732,8357,2852,344,True,True,True,True
awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,52988,4627,16,2025-04-19T20:55:59Z,493,436,2076,9,True,True,False,False
llama_index,https://github.com/run-llama/llama_index,51876,8023,1985,2022-11-02T04:24:54Z,1392,10021,7263,1808,True,True,False,True
cherry-studio,https://github.com/CherryHQ/cherry-studio,51070,4871,437,2024-05-24T01:56:26Z,824,7190,11343,589,True,True,True,True
OpenMontage,https://github.com/calesthio/OpenMontage,50308,6346,52,2026-03-29T15:23:22Z,149,358,132,1096,False,True,True,True
qlib,https://github.com/microsoft/qlib,47939,7602,152,2020-08-14T06:46:00Z,2202,1239,1071,63,True,False,False,False
JeecgBoot,https://github.com/jeecgboot/JeecgBoot,47477,16161,39,2018-11-26T10:40:00Z,2829,521,8506,34,True,False,False,True
nanobot,https://github.com/HKUDS/nanobot,47401,8366,427,2026-02-01T07:16:15Z,205,3737,1467,101,True,True,True,True
CowAgent,https://github.com/zhayujie/CowAgent,46676,10327,146,2022-08-07T08:33:41Z,1479,676,2195,32,False,True,True,False
airflow,https://github.com/apache/airflow,46607,17678,4570,2015-04-13T18:04:58Z,4152,46631,15028,199,True,True,True,True
new-api,https://github.com/QuantumNous/new-api,46297,10998,304,2023-11-10T19:33:36Z,1019,2961,3372,43,True,False,True,True
hyperframes,https://github.com/heygen-com/hyperframes,42611,4096,58,2026-03-10T01:51:06Z,169,3147,319,697,True,True,True,True
ai-agent-book,https://github.com/bojieli/ai-agent-book,42264,4674,74,2025-09-09T02:41:44Z,351,826,184,1396,False,False,True,False
agno,https://github.com/agno-agi/agno,41925,5823,538,2022-05-04T15:23:02Z,1574,5950,2781,742,False,True,True,True
chatbox,https://github.com/chatboxai/chatbox,41563,4208,70,2023-03-06T12:22:15Z,1268,274,2697,56,False,False,True,False
agent-browser,https://github.com/vercel-labs/agent-browser,41336,2746,112,2026-01-11T05:38:15Z,226,1130,584,37,False,False,True,True
ToolJet,https://github.com/ToolJet/ToolJet,40765,5415,681,2021-03-30T08:51:34Z,1974,11998,5285,1202,True,True,True,True
langgraph,https://github.com/langchain-ai/langgraph,40458,6827,285,2023-08-09T18:33:12Z,1112,5643,1534,19,False,False,False,True
ChatTTS,https://github.com/2noise/ChatTTS,39796,4256,59,2024-05-27T18:26:49Z,820,280,677,9,False,False,False,False
AstrBot,https://github.com/AstrBotDevs/AstrBot,39611,2835,346,2022-12-08T13:27:46Z,1356,2810,6495,442,False,True,True,True
posthog,https://github.com/PostHog/posthog,39173,3287,560,2020-01-23T22:46:58Z,2406,77853,10569,1250,True,True,True,True
openhuman,https://github.com/tinyhumansai/openhuman,37843,3737,151,2026-02-18T20:01:27Z,188,3564,1943,370,True,True,True,True
Trilium,https://github.com/TriliumNext/Trilium,37594,2521,435,2017-05-23T00:30:20Z,3382,3706,5606,536,True,True,True,False
Open-Assistant,https://github.com/LAION-AI/Open-Assistant,37406,3279,309,2022-12-13T05:24:17Z,1351,1960,1648,116,False,True,False,False
ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,37175,6141,16,2024-10-21T10:43:24Z,673,199,51,164,False,False,True,True
CasaOS,https://github.com/IceWhaleTech/CasaOS,37137,2191,26,2021-09-26T02:33:09Z,1795,327,1721,7,True,False,False,False
CopilotKit,https://github.com/CopilotKit/CopilotKit,37044,4582,231,2023-06-19T04:08:31Z,1163,5329,1223,1354,True,True,True,True
khoj,https://github.com/khoj-ai/khoj,36719,2404,76,2021-08-16T01:48:44Z,1836,644,605,42,False,False,False,True
1Panel,https://github.com/1Panel-dev/1Panel,36637,3308,128,2022-07-19T15:44:52Z,1498,5747,6916,22,True,True,False,False
AgentGPT,https://github.com/reworkd/AgentGPT,36304,9270,72,2023-04-07T02:29:19Z,1237,1081,469,11,True,True,False,False
medusa,https://github.com/medusajs/medusa,36002,5136,547,2020-01-18T13:39:04Z,2411,11341,3924,295,True,True,True,False
QwenPaw,https://github.com/agentscope-ai/QwenPaw,34475,3036,228,2026-02-24T03:42:56Z,183,3493,3609,375,True,True,True,True
browser,https://github.com/lightpanda-io/browser,34249,1612,60,2023-02-07T15:19:34Z,1295,2765,509,8,True,True,False,True
tabby,https://github.com/TabbyML/tabby,33837,1784,119,2023-03-16T09:18:01Z,1258,3318,1013,134,False,True,False,False
nacos,https://github.com/alibaba/nacos,33302,13285,541,2018-06-15T06:49:27Z,2993,5360,9791,232,False,True,True,True
ai-website-cloner-template,https://github.com/JCodesMore/ai-website-cloner-template,33122,4823,13,2026-03-13T11:14:39Z,165,76,27,26,True,True,True,True
zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,32660,4913,423,2026-02-13T08:56:04Z,193,6796,2868,273,True,True,True,True
AionUi,https://github.com/iOfficeAI/AionUi,32290,3318,116,2025-08-07T10:29:51Z,383,2537,1517,114,False,True,True,True
signoz,https://github.com/SigNoz/signoz,31935,2446,218,2021-01-03T12:44:36Z,2060,7832,4412,126,True,True,True,True
Vibe-Trading,https://github.com/HKUDS/Vibe-Trading,31713,5158,147,2026-04-01T09:52:20Z,146,861,324,417,True,True,True,False
kickstart.nvim,https://github.com/nvim-lua/kickstart.nvim,31323,46693,177,2022-06-24T03:11:24Z,1524,1430,700,4,False,False,False,False
Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,31138,3705,17,2026-02-25T09:47:50Z,181,73,39,2588,True,True,True,True
cli,https://github.com/googleworkspace/cli,30565,1792,43,2026-03-02T19:46:06Z,176,565,301,113,True,True,True,True
algo,https://github.com/trailofbits/algo,30363,2367,202,2016-05-15T03:42:48Z,3755,948,1648,42,True,True,False,False
cognee,https://github.com/topoteretes/cognee,30266,2964,279,2023-08-16T16:16:33Z,1105,3520,932,67,True,True,True,True
Jobs_Applier_AI_Agent_AIHawk,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,30251,4643,9,2024-08-04T12:15:06Z,751,327,692,4,False,True,False,False
meetily,https://github.com/Zackriya-Solutions/meetily,29903,3195,12,2024-12-26T12:52:14Z,607,350,314,28,False,True,False,False
awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,29678,3366,60,2023-06-19T00:20:06Z,1164,1129,166,2,False,False,False,False
sim,https://github.com/simstudioai/sim,29473,3792,60,2025-01-05T22:47:49Z,597,6574,474,102,True,True,True,True
FastGPT,https://github.com/labring/FastGPT,29458,7278,177,2023-02-23T16:53:25Z,1279,3992,3472,129,True,False,True,True
nx,https://github.com/nrwl/nx,29268,3000,1283,2017-08-11T18:50:23Z,3301,19513,12569,482,True,True,True,True
gpt-researcher,https://github.com/assafelovic/gpt-researcher,29153,3955,271,2023-05-12T10:33:54Z,1201,1123,728,159,True,True,True,False
openai-agents-python,https://github.com/openai/openai-agents-python,28968,4595,368,2025-03-11T03:42:36Z,533,3127,1450,512,True,False,True,True
actual,https://github.com/actualbudget/actual,28374,2885,705,2022-04-29T02:41:34Z,1580,5132,3492,304,False,True,True,True
budibase,https://github.com/Budibase/budibase,28242,2198,145,2019-06-07T11:03:41Z,2636,7941,5997,53,True,True,True,True
mlflow,https://github.com/mlflow/mlflow,27681,6219,1153,2018-06-05T16:05:58Z,3003,19014,5692,130,True,True,True,True
dexter,https://github.com/virattt/dexter,27547,3414,25,2025-10-14T21:02:00Z,315,189,89,10,False,False,True,True
mastra,https://github.com/mastra-ai/mastra,27474,2693,653,2024-08-06T20:44:31Z,749,16256,5443,774,False,True,True,True
kilocode,https://github.com/Kilo-Org/kilocode,27020,3088,1217,2025-03-10T15:34:26Z,533,7732,4570,488,True,True,True,True
agenticSeek,https://github.com/Fosowl/agenticSeek,27017,3026,49,2025-02-19T18:03:06Z,552,276,208,14,True,True,False,False
symphony,https://github.com/openai/symphony,26857,2755,9,2026-02-26T21:54:00Z,180,78,0,23,False,False,True,True
ai,https://github.com/vercel/ai,26415,5025,699,2023-05-23T15:04:08Z,1190,14060,4238,259,True,True,True,True
haystack,https://github.com/deepset-ai/haystack,26317,3037,429,2019-11-14T09:05:28Z,2476,6884,4423,2370,True,True,False,True
dashy,https://github.com/lissy93/dashy,26292,1933,215,2021-02-28T10:35:44Z,2004,873,1026,48,True,True,False,False
Open-AutoGLM,https://github.com/zai-org/Open-AutoGLM,26087,4020,13,2025-12-08T09:23:44Z,260,145,250,6,False,False,False,False
crawlee,https://github.com/apify/crawlee,25503,1640,142,2016-08-26T18:35:03Z,3651,2469,1195,165,False,True,False,False
12-factor-agents,https://github.com/humanlayer/12-factor-agents,25492,1930,16,2025-03-30T22:10:39Z,513,70,23,52,False,False,False,False
monica,https://github.com/monicahq/monica,25109,2597,40,2017-02-17T00:02:58Z,3477,5724,2068,8,True,False,False,False
awesome-n8n-templates,https://github.com/enescingoz/awesome-n8n-templates,24943,6403,52,2025-05-08T18:34:01Z,474,115,65,35,False,True,False,False
TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,24483,2254,5,2026-04-07T06:34:26Z,140,833,309,68,False,True,True,False
letta,https://github.com/letta-ai/letta,24442,2597,154,2023-10-11T07:38:37Z,1049,2025,1291,7,True,True,False,True
firefly-iii,https://github.com/firefly-iii/firefly-iii,24415,2266,201,2014-06-28T07:37:32Z,4441,2762,7085,16,True,True,False,True
activepieces,https://github.com/activepieces/activepieces,24038,4101,490,2022-12-03T02:52:46Z,1362,10926,3078,916,True,True,True,True
MagicMirror,https://github.com/MagicMirrorOrg/MagicMirror,23795,4562,363,2014-02-19T15:48:09Z,4570,2434,1646,17,True,True,False,False
Archon,https://github.com/coleam00/Archon,23274,3466,74,2025-02-07T21:04:12Z,564,1350,1228,304,True,True,True,True
navidrome,https://github.com/navidrome/navidrome,23119,1663,248,2016-02-24T23:25:12Z,3835,3138,1808,24,False,True,False,False
go-micro,https://github.com/micro/go-micro,23040,2418,216,2015-01-13T23:30:18Z,4242,2605,2151,223,True,True,False,True
skyvern,https://github.com/Skyvern-AI/skyvern,22849,2146,95,2024-02-28T15:45:19Z,909,7827,389,97,True,True,True,True
MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,22781,2804,352,2021-07-09T18:26:38Z,1873,5573,11699,263,True,False,True,False
Self-Hosting-Guide,https://github.com/mikeroyal/Self-Hosting-Guide,22608,1155,21,2022-02-06T20:03:15Z,1661,336,32,2,False,True,False,False
MaxKB,https://github.com/1Panel-dev/MaxKB,22604,3119,95,2023-09-14T02:05:12Z,1077,3549,2285,14,True,True,False,False
personal-security-checklist,https://github.com/lissy93/personal-security-checklist,22185,1460,93,2018-03-02T21:12:37Z,3098,157,105,12,False,True,False,False
ha_xiaomi_home,https://github.com/XiaoMi/ha_xiaomi_home,22043,1172,37,2024-09-09T02:14:48Z,716,282,1045,8,False,True,False,False
pentagi,https://github.com/vxcontrol/pentagi,22022,2919,17,2025-01-06T22:22:48Z,596,253,129,95,False,True,False,False
ralph,https://github.com/snarktank/ralph,21613,2085,4,2026-01-07T14:45:10Z,230,117,47,7,False,False,True,True
opik,https://github.com/comet-ml/opik,21605,1727,147,2023-05-10T12:57:13Z,1203,7247,721,160,False,True,True,True
coze-studio,https://github.com/coze-dev/coze-studio,21503,3121,62,2025-06-26T02:19:21Z,426,536,1049,299,False,True,False,False
rasa,https://github.com/RasaHQ/rasa,21303,4919,600,2016-10-14T12:27:49Z,3602,6457,6657,32,False,True,False,False
chatgpt-retrieval-plugin,https://github.com/openai/chatgpt-retrieval-plugin,21209,3573,40,2023-03-23T06:06:22Z,1251,211,265,30,False,False,False,False
buzz,https://github.com/chidiwilliams/buzz,21130,1558,38,2022-09-24T13:43:23Z,1431,749,726,31,False,True,False,True
WeKnora,https://github.com/Tencent/WeKnora,20635,2966,196,2025-07-22T08:01:23Z,399,1805,955,186,True,False,True,True
freellmapi,https://github.com/tashfeenahmed/freellmapi,20332,2936,61,2026-04-21T13:38:59Z,126,721,304,25,True,True,False,False
context-mode,https://github.com/mksglu/context-mode,20144,1458,110,2026-02-23T05:56:28Z,183,535,498,58,False,True,True,True
DB-GPT,https://github.com/eosphoros-ai/DB-GPT,19796,2890,199,2023-04-13T14:52:43Z,1230,1383,1688,477,False,True,True,True
deep-research,https://github.com/dzhng/deep-research,19598,1992,16,2025-02-04T01:27:56Z,568,64,105,2,False,False,False,False
taipy,https://github.com/Avaiga/taipy,19431,1997,97,2022-02-18T15:55:45Z,1649,1628,1111,30,True,True,False,False
eliza,https://github.com/elizaOS/eliza,19166,5694,149,2024-07-09T07:55:40Z,777,21771,6853,921,True,True,True,True
agent-zero,https://github.com/agent0ai/agent-zero,18969,3759,62,2024-06-10T09:10:45Z,806,893,834,667,False,True,True,True
prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,18451,1994,222,2026-05-08T01:42:41Z,110,1252,321,138,True,True,True,True
DocsGPT,https://github.com/arc53/DocsGPT,18226,2132,241,2023-02-02T11:03:23Z,1300,2004,625,22,True,True,False,True
langchainjs,https://github.com/langchain-ai/langchainjs,18135,3337,1113,2023-02-06T22:50:27Z,1296,7809,2901,111,False,True,False,True
CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,18052,1962,18,2018-05-19T04:56:01Z,3020,101,553,44,False,True,False,False
SuperAGI,https://github.com/TransformerOptimus/SuperAGI,17660,2231,74,2023-05-13T08:55:24Z,1200,1006,474,20,False,True,False,False
camel,https://github.com/camel-ai/camel,17639,2059,233,2023-03-17T21:41:54Z,1257,2651,1559,155,True,True,True,True
generative-ai,https://github.com/GoogleCloudPlatform/generative-ai,17626,4424,307,2023-05-05T12:31:07Z,1208,2599,380,166,True,True,True,True
LangBot,https://github.com/langbot-app/LangBot,17554,1567,97,2022-12-07T08:48:02Z,1357,923,1470,98,False,True,True,True
academicpages.github.io,https://github.com/academicpages/academicpages.github.io,17497,8454,84,2016-09-15T11:16:04Z,3631,2973,460,33,False,True,False,False
leon,https://github.com/leon-ai/leon,17461,1465,24,2019-02-10T12:25:12Z,2753,240,323,20,False,True,True,False
foam,https://github.com/foambubble/foam,17376,774,154,2020-06-19T17:04:10Z,2258,811,818,114,True,True,False,False
maxun,https://github.com/getmaxun/maxun,17290,1494,46,2023-10-23T21:40:19Z,1037,859,327,8,True,True,False,False
wtf,https://github.com/wtfutil/wtf,17062,862,211,2018-03-29T02:42:12Z,3072,1561,582,12,True,True,False,False
markdown-badges,https://github.com/Ileriayo/markdown-badges,16983,1796,307,2020-07-19T15:49:20Z,2228,700,278,4,False,True,False,False
llm_wiki,https://github.com/nashsu/llm_wiki,16800,1991,42,2026-04-08T11:24:01Z,139,198,469,7,False,False,False,False
cockpit-tools,https://github.com/jlcodes99/cockpit-tools,16524,1454,80,2026-01-16T07:09:32Z,221,520,1547,34,True,True,False,False
RagaAI-Catalyst,https://github.com/raga-ai-hub/RagaAI-Catalyst,16151,3567,28,2024-08-26T12:13:15Z,729,197,55,19,False,False,False,False
trigger.dev,https://github.com/triggerdotdev/trigger.dev,16126,1420,141,2022-11-30T14:59:07Z,1364,3734,948,130,True,True,True,True
ai-berkshire,https://github.com/xbtlin/ai-berkshire,15880,2370,15,2026-04-07T11:19:51Z,140,49,49,2414,True,True,True,True
OpenHarness,https://github.com/HKUDS/OpenHarness,15533,2528,55,2026-04-01T15:37:13Z,146,190,156,21,False,True,True,False
ragas,https://github.com/vibrantlabsai/ragas,15472,1656,246,2023-05-08T17:48:04Z,1205,1628,1332,163,True,True,False,True
Auto-claude-code-research-in-sleep,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep,15246,1337,89,2026-03-10T07:31:45Z,168,262,141,404,False,True,True,False
cc-connect,https://github.com/chenhg5/cc-connect,15180,1499,171,2026-02-28T02:39:39Z,179,1088,645,51,False,True,False,True
better-genshin-impact,https://github.com/babalae/better-genshin-impact,15054,1087,125,2023-08-27T01:02:45Z,1095,1058,2388,22,False,False,False,True
OpenMetadata,https://github.com/open-metadata/OpenMetadata,14966,2334,480,2021-08-01T21:17:17Z,1850,20940,10692,499,True,True,True,True
Skill_Seekers,https://github.com/yusufkaraaslan/Skill_Seekers,14831,1513,46,2025-10-17T14:43:48Z,312,162,263,305,False,True,True,True
pipecat,https://github.com/pipecat-ai/pipecat,14731,2549,326,2023-12-27T12:59:00Z,972,4134,1292,52,True,True,True,True
Toonflow-app,https://github.com/HBAI-Ltd/Toonflow-app,14548,2627,10,2026-01-29T10:25:45Z,208,80,174,194,False,False,False,False
memU,https://github.com/NevaMind-AI/memU,14347,1062,43,2025-07-29T01:54:40Z,393,434,208,52,False,True,True,True
qm,https://github.com/yc-software/qm,14202,1701,6,2026-07-29T20:03:08Z,27,531,140,119,True,True,True,True
context-engineering-intro,https://github.com/coleam00/context-engineering-intro,13797,2722,1,2025-07-02T11:54:47Z,419,28,22,139,False,False,True,False
unity-mcp,https://github.com/CoplayDev/unity-mcp,13655,1451,74,2025-03-18T11:01:58Z,525,825,473,130,True,True,True,False
agents,https://github.com/livekit/agents,13165,3597,464,2023-10-19T23:00:55Z,1041,4859,2079,130,False,True,False,True
agent-framework,https://github.com/microsoft/agent-framework,13116,2226,215,2025-04-28T19:40:42Z,484,4209,3256,533,True,True,True,True
langchain4j,https://github.com/langchain4j/langchain4j,12952,2500,471,2023-06-20T15:30:29Z,1162,3286,2478,209,True,True,True,True
speech-to-speech,https://github.com/huggingface/speech-to-speech,12866,1592,44,2024-08-07T15:32:09Z,748,345,183,14,False,False,False,True
LEANN,https://github.com/StarTrail-org/LEANN,12834,1151,48,2025-06-09T06:52:59Z,442,260,121,47,False,True,False,False
claude-obsidian,https://github.com/AgriciDaniel/claude-obsidian,12858,1385,3,2026-04-07T08:59:37Z,140,98,72,84,True,True,True,True
eino,https://github.com/cloudwego/eino,12818,1066,38,2024-12-04T06:47:27Z,629,812,387,8,False,True,False,False
nofx,https://github.com/NoFxAiOS/nofx,12755,3038,69,2025-10-28T07:17:53Z,301,752,719,111,True,True,False,True
mcp-chrome,https://github.com/hangwin/mcp-chrome,12352,1126,17,2025-06-09T09:07:06Z,442,89,273,26,False,True,False,False
inbox-zero,https://github.com/elie222/inbox-zero,12087,1507,77,2023-07-12T15:34:57Z,1140,3136,246,88,True,False,True,True
bisheng,https://github.com/dataelement/bisheng,11914,1950,71,2023-08-28T10:00:24Z,1093,1955,389,265,True,False,True,True
